year,Miller (F),Miller (M)
1880,0.000000,0.000035
1881,0.000000,0.000057
1882,0.000000,0.000072
1883,0.000000,0.000032
1884,0.000000,0.000025
1885,0.000000,0.000033
1886,0.000000,0.000047
1887,0.000000,0.000024
1888,0.000000,0.000040
1889,0.000000,0.000059
1890,0.000000,0.000040
1891,0.000000,0.000024
1892,0.000000,0.000030
1893,0.000000,0.000037
1894,0.000000,0.000027
1895,0.000000,0.000028
1896,0.000000,0.000025
1897,0.000000,0.000032
1898,0.000000,0.000018
1899,0.000000,0.000032
1900,0.000000,0.000031
1901,0.000000,0.000035
1902,0.000000,0.000031
1903,0.000000,0.000042
1904,0.000000,0.000030
1905,0.000000,0.000021
1906,0.000000,0.000033
1907,0.000000,0.000037
1908,0.000000,0.000039
1909,0.000000,0.000029
1910,0.000000,0.000036
1911,0.000000,0.000042
1912,0.000000,0.000041
1913,0.000000,0.000040
1914,0.000000,0.000049
1915,0.000003,0.000037
1916,0.000000,0.000028
1917,0.000003,0.000030
1918,0.000000,0.000029
1919,0.000004,0.000036
1920,0.000003,0.000037
1921,0.000002,0.000037
1922,0.000002,0.000037
1923,0.000002,0.000036
1924,0.000002,0.000034
1925,0.000003,0.000035
1926,0.000000,0.000027
1927,0.000000,0.000026
1928,0.000000,0.000023
1929,0.000000,0.000024
1930,0.000002,0.000028
1931,0.000000,0.000029
1932,0.000003,0.000020
1933,0.000000,0.000030
1934,0.000002,0.000025
1935,0.000000,0.000021
1936,0.000000,0.000019
1937,0.000000,0.000022
1938,0.000004,0.000027
1939,0.000003,0.000017
1940,0.000000,0.000020
1941,0.000002,0.000014
1942,0.000002,0.000012
1943,0.000000,0.000017
1944,0.000000,0.000013
1945,0.000000,0.000014
1946,0.000000,0.000012
1947,0.000000,0.000014
1948,0.000000,0.000010
1949,0.000002,0.000011
1950,0.000000,0.000010
1951,0.000000,0.000012
1952,0.000000,0.000012
1953,0.000000,0.000010
1954,0.000000,0.000011
1955,0.000000,0.000013
1956,0.000000,0.000007
1957,0.000000,0.000009
1958,0.000000,0.000010
1959,0.000000,0.000010
1960,0.000000,0.000006
1961,0.000000,0.000007
1962,0.000000,0.000007
1963,0.000000,0.000008
1964,0.000000,0.000006
1965,0.000000,0.000009
1966,0.000000,0.000009
1967,0.000000,0.000007
1968,0.000000,0.000007
1969,0.000000,0.000007
1970,0.000000,0.000007
1971,0.000000,0.000009
1972,0.000000,0.000007
1973,0.000000,0.000008
1974,0.000000,0.000010
1975,0.000000,0.000007
1976,0.000000,0.000008
1977,0.000000,0.000006
1978,0.000000,0.000005
1979,0.000000,0.000005
1980,0.000000,0.000005
1981,0.000000,0.000007
1982,0.000000,0.000007
1983,0.000000,0.000007
1984,0.000000,0.000006
1985,0.000000,0.000006
1986,0.000000,0.000005
1987,0.000002,0.000004
1988,0.000000,0.000006
1989,0.000000,0.000007
1990,0.000001,0.000008
1991,0.000000,0.000010
1992,0.000003,0.000009
1993,0.000005,0.000012
1994,0.000000,0.000013
1995,0.000002,0.000012
1996,0.000004,0.000017
1997,0.000002,0.000017
1998,0.000002,0.000018
1999,0.000004,0.000021
2000,0.000004,0.000022
2001,0.000002,0.000018
2002,0.000003,0.000020
2003,0.000004,0.000023
2004,0.000006,0.000023
2005,0.000004,0.000029
2006,0.000006,0.000039
2007,0.000005,0.000041
2008,0.000010,0.000046
2009,0.000004,0.000047
2010,0.000009,0.000051
2011,0.000010,0.000060
2012,0.000013,0.000049
2013,0.000016,0.000058
