year,Moises (F),Moises (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000000
1909,0.000000,0.000016
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000004
1914,0.000000,0.000008
1915,0.000000,0.000008
1916,0.000000,0.000003
1917,0.000000,0.000007
1918,0.000000,0.000004
1919,0.000000,0.000012
1920,0.000000,0.000007
1921,0.000000,0.000010
1922,0.000000,0.000009
1923,0.000000,0.000012
1924,0.000000,0.000015
1925,0.000000,0.000014
1926,0.000000,0.000010
1927,0.000000,0.000013
1928,0.000000,0.000019
1929,0.000000,0.000018
1930,0.000000,0.000018
1931,0.000000,0.000011
1932,0.000000,0.000018
1933,0.000000,0.000014
1934,0.000000,0.000015
1935,0.000000,0.000018
1936,0.000000,0.000012
1937,0.000000,0.000014
1938,0.000000,0.000008
1939,0.000000,0.000010
1940,0.000000,0.000016
1941,0.000000,0.000010
1942,0.000000,0.000008
1943,0.000000,0.000012
1944,0.000000,0.000011
1945,0.000000,0.000008
1946,0.000000,0.000010
1947,0.000000,0.000009
1948,0.000000,0.000011
1949,0.000000,0.000011
1950,0.000000,0.000011
1951,0.000000,0.000010
1952,0.000000,0.000012
1953,0.000000,0.000012
1954,0.000000,0.000008
1955,0.000000,0.000014
1956,0.000000,0.000010
1957,0.000000,0.000012
1958,0.000000,0.000016
1959,0.000000,0.000018
1960,0.000000,0.000018
1961,0.000000,0.000019
1962,0.000000,0.000021
1963,0.000000,0.000022
1964,0.000000,0.000022
1965,0.000000,0.000025
1966,0.000000,0.000028
1967,0.000000,0.000027
1968,0.000000,0.000029
1969,0.000000,0.000029
1970,0.000000,0.000033
1971,0.000000,0.000038
1972,0.000000,0.000040
1973,0.000000,0.000052
1974,0.000000,0.000066
1975,0.000002,0.000072
1976,0.000000,0.000079
1977,0.000000,0.000069
1978,0.000000,0.000066
1979,0.000000,0.000087
1980,0.000002,0.000082
1981,0.000000,0.000090
1982,0.000000,0.000081
1983,0.000000,0.000083
1984,0.000000,0.000085
1985,0.000002,0.000083
1986,0.000000,0.000083
1987,0.000000,0.000088
1988,0.000000,0.000091
1989,0.000000,0.000114
1990,0.000000,0.000113
1991,0.000000,0.000129
1992,0.000000,0.000138
1993,0.000000,0.000156
1994,0.000002,0.000156
1995,0.000001,0.000160
1996,0.000000,0.000159
1997,0.000000,0.000169
1998,0.000000,0.000188
1999,0.000000,0.000211
2000,0.000001,0.000235
2001,0.000000,0.000244
2002,0.000002,0.000219
2003,0.000001,0.000210
2004,0.000001,0.000205
2005,0.000000,0.000217
2006,0.000000,0.000227
2007,0.000000,0.000216
2008,0.000000,0.000210
2009,0.000000,0.000205
2010,0.000000,0.000176
2011,0.000000,0.000173
2012,0.000000,0.000165
2013,0.000000,0.000148
