year,Mitzie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,7
1915,6
1916,8
1917,5
1918,7
1919,5
1920,6
1921,6
1922,9
1923,8
1924,11
1925,6
1926,12
1927,7
1928,9
1929,8
1930,16
1931,24
1932,22
1933,29
1934,30
1935,24
1936,15
1937,16
1938,20
1939,14
1940,15
1941,16
1942,13
1943,10
1944,12
1945,19
1946,15
1947,24
1948,22
1949,16
1950,16
1951,24
1952,30
1953,38
1954,45
1955,51
1956,56
1957,44
1958,49
1959,50
1960,54
1961,57
1962,64
1963,50
1964,48
1965,36
1966,41
1967,40
1968,37
1969,36
1970,40
1971,27
1972,21
1973,35
1974,18
1975,22
1976,17
1977,19
1978,11
1979,14
1980,20
1981,10
1982,9
1983,12
1984,6
1985,0
1986,5
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,9
2002,0
2003,0
2004,0
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
