year,Mason (F),Mason (M)
1880,0.000000,0.000109
1881,0.000000,0.000067
1882,0.000000,0.000054
1883,0.000000,0.000055
1884,0.000000,0.000058
1885,0.000000,0.000062
1886,0.000000,0.000071
1887,0.000000,0.000053
1888,0.000000,0.000047
1889,0.000000,0.000073
1890,0.000000,0.000053
1891,0.000000,0.000038
1892,0.000000,0.000060
1893,0.000000,0.000037
1894,0.000000,0.000053
1895,0.000000,0.000054
1896,0.000000,0.000050
1897,0.000000,0.000066
1898,0.000000,0.000039
1899,0.000000,0.000056
1900,0.000000,0.000071
1901,0.000000,0.000043
1902,0.000000,0.000062
1903,0.000000,0.000055
1904,0.000000,0.000050
1905,0.000000,0.000052
1906,0.000000,0.000047
1907,0.000000,0.000047
1908,0.000000,0.000055
1909,0.000000,0.000031
1910,0.000000,0.000046
1911,0.000000,0.000047
1912,0.000000,0.000059
1913,0.000000,0.000075
1914,0.000000,0.000063
1915,0.000000,0.000053
1916,0.000004,0.000070
1917,0.000000,0.000057
1918,0.000002,0.000053
1919,0.000000,0.000059
1920,0.000003,0.000063
1921,0.000000,0.000062
1922,0.000000,0.000057
1923,0.000002,0.000056
1924,0.000000,0.000050
1925,0.000000,0.000049
1926,0.000000,0.000053
1927,0.000000,0.000047
1928,0.000000,0.000048
1929,0.000000,0.000044
1930,0.000000,0.000043
1931,0.000000,0.000040
1932,0.000000,0.000041
1933,0.000000,0.000042
1934,0.000000,0.000043
1935,0.000000,0.000039
1936,0.000000,0.000039
1937,0.000000,0.000033
1938,0.000000,0.000036
1939,0.000000,0.000036
1940,0.000000,0.000033
1941,0.000000,0.000033
1942,0.000000,0.000038
1943,0.000000,0.000032
1944,0.000000,0.000034
1945,0.000000,0.000026
1946,0.000000,0.000026
1947,0.000000,0.000024
1948,0.000000,0.000026
1949,0.000000,0.000027
1950,0.000000,0.000026
1951,0.000000,0.000023
1952,0.000000,0.000022
1953,0.000000,0.000021
1954,0.000000,0.000018
1955,0.000000,0.000024
1956,0.000000,0.000022
1957,0.000000,0.000017
1958,0.000000,0.000021
1959,0.000000,0.000021
1960,0.000000,0.000019
1961,0.000000,0.000021
1962,0.000000,0.000022
1963,0.000000,0.000024
1964,0.000000,0.000025
1965,0.000000,0.000020
1966,0.000000,0.000026
1967,0.000000,0.000026
1968,0.000000,0.000031
1969,0.000000,0.000045
1970,0.000000,0.000050
1971,0.000000,0.000048
1972,0.000000,0.000042
1973,0.000000,0.000051
1974,0.000000,0.000088
1975,0.000000,0.000102
1976,0.000000,0.000083
1977,0.000000,0.000082
1978,0.000002,0.000084
1979,0.000002,0.000096
1980,0.000000,0.000098
1981,0.000000,0.000090
1982,0.000001,0.000093
1983,0.000002,0.000070
1984,0.000002,0.000079
1985,0.000003,0.000127
1986,0.000003,0.000183
1987,0.000003,0.000227
1988,0.000004,0.000278
1989,0.000004,0.000285
1990,0.000005,0.000374
1991,0.000005,0.000522
1992,0.000009,0.000573
1993,0.000007,0.000656
1994,0.000009,0.000754
1995,0.000024,0.000991
1996,0.000033,0.001064
1997,0.000043,0.001177
1998,0.000039,0.001266
1999,0.000036,0.001476
2000,0.000039,0.001724
2001,0.000040,0.001990
2002,0.000040,0.002108
2003,0.000037,0.002077
2004,0.000042,0.002257
2005,0.000040,0.002542
2006,0.000032,0.002633
2007,0.000024,0.002695
2008,0.000027,0.002669
2009,0.000020,0.002800
2010,0.000021,0.004021
2011,0.000024,0.005341
2012,0.000023,0.005193
2013,0.000020,0.004863
2014,0.000021,0.004649
2015,0.000025,0.004504
2016,0.000024,0.004169
2017,0.000017,0.003801
2018,0.000021,0.003560
2019,0.000022,0.003309
2020,0.000020,0.003034
