year,Meyer
1880,0
1881,10
1882,5
1883,6
1884,0
1885,5
1886,0
1887,5
1888,6
1889,5
1890,7
1891,5
1892,7
1893,10
1894,6
1895,12
1896,14
1897,12
1898,11
1899,6
1900,19
1901,15
1902,22
1903,20
1904,27
1905,22
1906,16
1907,31
1908,45
1909,35
1910,52
1911,63
1912,143
1913,167
1914,186
1915,203
1916,210
1917,214
1918,183
1919,172
1920,132
1921,150
1922,140
1923,128
1924,106
1925,87
1926,85
1927,75
1928,73
1929,57
1930,35
1931,33
1932,17
1933,24
1934,20
1935,16
1936,16
1937,20
1938,10
1939,6
1940,12
1941,20
1942,6
1943,9
1944,16
1945,17
1946,13
1947,19
1948,14
1949,12
1950,14
1951,15
1952,17
1953,11
1954,6
1955,16
1956,17
1957,14
1958,19
1959,20
1960,10
1961,11
1962,12
1963,12
1964,7
1965,6
1966,9
1967,10
1968,6
1969,6
1970,8
1971,8
1972,11
1973,22
1974,11
1975,16
1976,17
1977,10
1978,13
1979,11
1980,5
1981,5
1982,7
1983,10
1984,11
1985,12
1986,13
1987,13
1988,13
1989,14
1990,21
1991,8
1992,13
1993,22
1994,12
1995,20
1996,15
1997,8
1998,23
1999,22
2000,26
2001,19
2002,13
2003,22
2004,17
2005,33
2006,23
2007,39
2008,36
2009,46
2010,36
2011,33
2012,62
