year,Marvene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,5
1915,7
1916,11
1917,9
1918,6
1919,5
1920,6
1921,0
1922,0
1923,18
1924,15
1925,14
1926,19
1927,7
1928,12
1929,7
1930,11
1931,12
1932,9
1933,14
1934,9
1935,13
1936,13
1937,14
1938,16
1939,15
1940,7
1941,8
1942,13
1943,12
1944,14
1945,10
1946,13
1947,14
1948,11
1949,12
1950,13
1951,11
1952,13
1953,14
1954,6
1955,10
1956,0
1957,0
1958,6
1959,6
1960,5
1961,0
1962,5
1963,5
1964,7
1965,0
1966,5
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
