year,Magali
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,9
1953,13
1954,6
1955,9
1956,8
1957,15
1958,0
1959,12
1960,19
1961,16
1962,20
1963,19
1964,13
1965,18
1966,23
1967,18
1968,21
1969,24
1970,17
1971,13
1972,17
1973,12
1974,14
1975,20
1976,19
1977,15
1978,15
1979,30
1980,23
1981,25
1982,37
1983,19
1984,11
1985,32
1986,47
1987,38
1988,60
1989,67
1990,104
1991,128
1992,110
1993,109
1994,114
1995,89
1996,102
1997,85
1998,83
1999,79
2000,142
2001,115
2002,121
2003,106
2004,109
2005,98
2006,108
2007,106
2008,83
2009,63
2010,68
2011,78
2012,79
