year,Margeret
1880,8
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,8
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,10
1901,0
1902,0
1903,8
1904,0
1905,9
1906,11
1907,6
1908,0
1909,7
1910,13
1911,0
1912,10
1913,14
1914,16
1915,17
1916,20
1917,26
1918,38
1919,26
1920,30
1921,19
1922,19
1923,24
1924,29
1925,12
1926,27
1927,21
1928,18
1929,22
1930,22
1931,23
1932,15
1933,16
1934,8
1935,6
1936,12
1937,11
1938,17
1939,10
1940,12
1941,15
1942,17
1943,9
1944,10
1945,14
1946,6
1947,19
1948,9
1949,12
1950,11
1951,12
1952,8
1953,6
1954,12
1955,10
1956,12
1957,15
1958,13
1959,12
1960,10
1961,11
1962,12
1963,6
1964,14
1965,10
1966,7
1967,6
1968,10
1969,7
1970,0
1971,0
1972,5
1973,0
1974,6
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
