year,Marcheta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,14
1924,57
1925,46
1926,41
1927,25
1928,18
1929,20
1930,12
1931,12
1932,8
1933,8
1934,13
1935,8
1936,6
1937,8
1938,10
1939,9
1940,11
1941,18
1942,12
1943,14
1944,0
1945,6
1946,13
1947,8
1948,11
1949,10
1950,11
1951,16
1952,16
1953,11
1954,7
1955,11
1956,13
1957,7
1958,16
1959,5
1960,6
1961,8
1962,8
1963,7
1964,0
1965,5
1966,5
1967,5
1968,7
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,7
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
