year,Melisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,5
1950,6
1951,13
1952,25
1953,27
1954,25
1955,37
1956,50
1957,71
1958,101
1959,118
1960,140
1961,157
1962,216
1963,261
1964,276
1965,373
1966,387
1967,482
1968,578
1969,527
1970,555
1971,583
1972,638
1973,637
1974,619
1975,549
1976,545
1977,559
1978,554
1979,661
1980,566
1981,516
1982,428
1983,385
1984,376
1985,379
1986,328
1987,298
1988,337
1989,272
1990,264
1991,265
1992,266
1993,236
1994,217
1995,197
1996,190
1997,231
1998,214
1999,196
2000,213
2001,216
2002,200
2003,227
2004,252
2005,188
2006,189
2007,163
2008,153
2009,134
2010,129
2011,132
2012,124
