year,Malvina
1880,11
1881,13
1882,13
1883,17
1884,10
1885,8
1886,19
1887,16
1888,15
1889,14
1890,16
1891,13
1892,16
1893,19
1894,21
1895,14
1896,27
1897,15
1898,23
1899,18
1900,15
1901,18
1902,19
1903,20
1904,15
1905,15
1906,17
1907,15
1908,14
1909,11
1910,17
1911,22
1912,33
1913,38
1914,37
1915,41
1916,38
1917,63
1918,53
1919,33
1920,37
1921,39
1922,48
1923,39
1924,38
1925,29
1926,33
1927,20
1928,18
1929,29
1930,18
1931,16
1932,10
1933,18
1934,19
1935,19
1936,14
1937,15
1938,15
1939,8
1940,11
1941,11
1942,14
1943,10
1944,12
1945,11
1946,19
1947,13
1948,9
1949,15
1950,18
1951,6
1952,10
1953,12
1954,9
1955,8
1956,12
1957,19
1958,0
1959,5
1960,8
1961,8
1962,7
1963,6
1964,0
1965,0
1966,8
1967,6
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,5
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,6
2008,5
2009,8
2010,7
2011,0
2012,0
