year,Marketa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,6
1956,6
1957,9
1958,0
1959,8
1960,6
1961,5
1962,5
1963,8
1964,6
1965,0
1966,5
1967,0
1968,0
1969,6
1970,12
1971,15
1972,15
1973,16
1974,8
1975,6
1976,18
1977,21
1978,18
1979,8
1980,9
1981,23
1982,21
1983,42
1984,44
1985,32
1986,39
1987,25
1988,22
1989,22
1990,26
1991,23
1992,19
1993,17
1994,17
1995,11
1996,10
1997,8
1998,7
1999,9
2000,9
2001,5
2002,5
2003,6
2004,0
2005,0
2006,0
2007,5
2008,0
2009,5
2010,0
2011,0
2012,0
