year,Mariellen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,7
1917,12
1918,9
1919,0
1920,14
1921,19
1922,13
1923,12
1924,9
1925,8
1926,12
1927,13
1928,8
1929,13
1930,7
1931,9
1932,11
1933,9
1934,10
1935,11
1936,14
1937,9
1938,8
1939,9
1940,22
1941,15
1942,17
1943,17
1944,15
1945,16
1946,27
1947,36
1948,25
1949,22
1950,26
1951,32
1952,29
1953,29
1954,42
1955,36
1956,40
1957,32
1958,50
1959,33
1960,28
1961,45
1962,19
1963,21
1964,18
1965,27
1966,17
1967,24
1968,17
1969,6
1970,7
1971,8
1972,8
1973,0
1974,8
1975,6
1976,9
1977,10
1978,8
1979,5
1980,5
1981,13
1982,0
1983,7
1984,7
1985,0
1986,0
1987,0
1988,5
1989,8
1990,0
1991,0
1992,0
1993,7
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
