year,Mindi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,10
1952,13
1953,8
1954,18
1955,18
1956,23
1957,14
1958,30
1959,29
1960,29
1961,42
1962,39
1963,62
1964,65
1965,59
1966,59
1967,65
1968,88
1969,134
1970,135
1971,190
1972,151
1973,157
1974,235
1975,203
1976,199
1977,182
1978,216
1979,315
1980,214
1981,144
1982,138
1983,119
1984,114
1985,95
1986,109
1987,101
1988,82
1989,70
1990,55
1991,61
1992,29
1993,27
1994,24
1995,25
1996,24
1997,19
1998,18
1999,10
2000,8
2001,7
2002,12
2003,5
2004,13
2005,13
2006,6
2007,9
2008,17
2009,9
2010,5
2011,10
2012,9
