year,Mel (F),Mel (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000013
1904,0.000000,0.000017
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000016
1912,0.000000,0.000005
1913,0.000000,0.000004
1914,0.000000,0.000007
1915,0.000000,0.000007
1916,0.000003,0.000007
1917,0.000000,0.000004
1918,0.000000,0.000007
1919,0.000003,0.000007
1920,0.000000,0.000006
1921,0.000000,0.000003
1922,0.000000,0.000008
1923,0.000000,0.000006
1924,0.000002,0.000005
1925,0.000000,0.000005
1926,0.000000,0.000011
1927,0.000003,0.000010
1928,0.000000,0.000006
1929,0.000000,0.000005
1930,0.000000,0.000008
1931,0.000000,0.000010
1932,0.000000,0.000015
1933,0.000003,0.000010
1934,0.000002,0.000019
1935,0.000000,0.000012
1936,0.000000,0.000021
1937,0.000000,0.000020
1938,0.000002,0.000028
1939,0.000003,0.000023
1940,0.000000,0.000030
1941,0.000000,0.000025
1942,0.000000,0.000029
1943,0.000002,0.000025
1944,0.000002,0.000022
1945,0.000000,0.000025
1946,0.000000,0.000027
1947,0.000002,0.000027
1948,0.000000,0.000021
1949,0.000002,0.000020
1950,0.000000,0.000019
1951,0.000001,0.000015
1952,0.000002,0.000020
1953,0.000003,0.000024
1954,0.000001,0.000021
1955,0.000002,0.000017
1956,0.000003,0.000023
1957,0.000004,0.000022
1958,0.000003,0.000029
1959,0.000003,0.000022
1960,0.000004,0.000024
1961,0.000003,0.000025
1962,0.000004,0.000020
1963,0.000002,0.000016
1964,0.000002,0.000022
1965,0.000002,0.000018
1966,0.000000,0.000018
1967,0.000000,0.000015
1968,0.000000,0.000010
1969,0.000000,0.000014
1970,0.000000,0.000010
1971,0.000000,0.000009
1972,0.000000,0.000011
1973,0.000000,0.000007
1974,0.000000,0.000009
1975,0.000000,0.000011
1976,0.000002,0.000010
1977,0.000000,0.000005
1978,0.000000,0.000007
1979,0.000000,0.000005
1980,0.000000,0.000008
1981,0.000000,0.000004
1982,0.000000,0.000005
1983,0.000000,0.000003
1984,0.000000,0.000003
1985,0.000000,0.000003
1986,0.000000,0.000003
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000006
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000005
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000006,0.000003
2003,0.000005,0.000006
2004,0.000008,0.000004
2005,0.000004,0.000003
2006,0.000003,0.000005
2007,0.000003,0.000004
2008,0.000002,0.000003
2009,0.000001,0.000002
2010,0.000001,0.000003
2011,0.000000,0.000003
2012,0.000002,0.000001
