year,Maizie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,5
1897,7
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,11
1908,0
1909,6
1910,8
1911,5
1912,13
1913,7
1914,12
1915,26
1916,14
1917,16
1918,31
1919,22
1920,25
1921,25
1922,24
1923,20
1924,21
1925,21
1926,15
1927,20
1928,12
1929,23
1930,13
1931,7
1932,8
1933,13
1934,13
1935,10
1936,6
1937,7
1938,9
1939,8
1940,0
1941,7
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,6
1950,0
1951,0
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,6
1991,6
1992,5
1993,7
1994,9
1995,7
1996,16
1997,15
1998,23
1999,22
2000,36
2001,32
2002,30
2003,34
2004,28
2005,32
2006,29
2007,28
2008,46
2009,44
2010,38
2011,41
2012,53
