year,Mathilda
1880,72
1881,69
1882,68
1883,100
1884,95
1885,102
1886,120
1887,138
1888,133
1889,168
1890,138
1891,138
1892,150
1893,148
1894,136
1895,127
1896,121
1897,108
1898,130
1899,127
1900,113
1901,109
1902,104
1903,88
1904,101
1905,84
1906,102
1907,90
1908,85
1909,84
1910,95
1911,97
1912,120
1913,101
1914,142
1915,146
1916,170
1917,164
1918,180
1919,142
1920,146
1921,147
1922,140
1923,140
1924,113
1925,100
1926,87
1927,79
1928,57
1929,47
1930,47
1931,42
1932,47
1933,31
1934,38
1935,44
1936,37
1937,34
1938,28
1939,28
1940,25
1941,21
1942,22
1943,30
1944,16
1945,19
1946,11
1947,17
1948,17
1949,12
1950,12
1951,13
1952,9
1953,18
1954,9
1955,14
1956,13
1957,16
1958,16
1959,14
1960,10
1961,12
1962,9
1963,12
1964,16
1965,12
1966,11
1967,8
1968,10
1969,6
1970,11
1971,8
1972,6
1973,6
1974,11
1975,5
1976,5
1977,7
1978,8
1979,6
1980,0
1981,0
1982,0
1983,8
1984,7
1985,5
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,12
1996,11
1997,7
1998,22
1999,13
2000,17
2001,20
2002,21
2003,24
2004,20
2005,12
2006,20
2007,19
2008,21
2009,40
2010,34
2011,33
2012,41
