year,Malena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,6
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,5
1952,0
1953,6
1954,6
1955,0
1956,0
1957,10
1958,13
1959,0
1960,6
1961,9
1962,12
1963,7
1964,8
1965,8
1966,6
1967,17
1968,14
1969,25
1970,53
1971,66
1972,63
1973,43
1974,52
1975,42
1976,29
1977,38
1978,41
1979,35
1980,35
1981,36
1982,30
1983,40
1984,21
1985,31
1986,25
1987,19
1988,25
1989,26
1990,22
1991,42
1992,49
1993,41
1994,40
1995,45
1996,50
1997,58
1998,63
1999,73
2000,93
2001,119
2002,139
2003,107
2004,146
2005,117
2006,130
2007,138
2008,122
2009,123
2010,118
2011,115
2012,98
