year,Micheline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,11
1920,6
1921,7
1922,5
1923,5
1924,0
1925,0
1926,10
1927,0
1928,5
1929,8
1930,5
1931,0
1932,0
1933,0
1934,7
1935,0
1936,8
1937,6
1938,12
1939,8
1940,5
1941,10
1942,15
1943,9
1944,10
1945,12
1946,25
1947,35
1948,19
1949,18
1950,44
1951,50
1952,29
1953,26
1954,21
1955,18
1956,14
1957,22
1958,25
1959,21
1960,19
1961,28
1962,32
1963,32
1964,24
1965,37
1966,29
1967,34
1968,23
1969,24
1970,33
1971,27
1972,24
1973,25
1974,23
1975,15
1976,15
1977,26
1978,12
1979,16
1980,12
1981,16
1982,14
1983,12
1984,13
1985,13
1986,9
1987,14
1988,11
1989,11
1990,15
1991,13
1992,14
1993,12
1994,6
1995,16
1996,7
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,7
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
