year,Maynard (F),Maynard (M)
1880,0.000000,0.000060
1881,0.000000,0.000000
1882,0.000000,0.000036
1883,0.000000,0.000046
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000039
1887,0.000000,0.000040
1888,0.000000,0.000027
1889,0.000000,0.000038
1890,0.000000,0.000036
1891,0.000000,0.000059
1892,0.000000,0.000036
1893,0.000000,0.000046
1894,0.000000,0.000041
1895,0.000000,0.000054
1896,0.000000,0.000053
1897,0.000000,0.000069
1898,0.000000,0.000037
1899,0.000000,0.000091
1900,0.000000,0.000058
1901,0.000000,0.000067
1902,0.000000,0.000065
1903,0.000000,0.000087
1904,0.000000,0.000069
1905,0.000000,0.000073
1906,0.000000,0.000077
1907,0.000000,0.000088
1908,0.000000,0.000068
1909,0.000000,0.000084
1910,0.000000,0.000085
1911,0.000000,0.000096
1912,0.000000,0.000153
1913,0.000000,0.000149
1914,0.000000,0.000148
1915,0.000000,0.000160
1916,0.000000,0.000150
1917,0.000000,0.000166
1918,0.000000,0.000162
1919,0.000003,0.000168
1920,0.000003,0.000166
1921,0.000000,0.000170
1922,0.000000,0.000174
1923,0.000000,0.000154
1924,0.000000,0.000150
1925,0.000000,0.000161
1926,0.000000,0.000146
1927,0.000002,0.000148
1928,0.000000,0.000166
1929,0.000000,0.000153
1930,0.000002,0.000161
1931,0.000000,0.000165
1932,0.000000,0.000163
1933,0.000000,0.000145
1934,0.000000,0.000171
1935,0.000000,0.000149
1936,0.000000,0.000138
1937,0.000000,0.000131
1938,0.000000,0.000125
1939,0.000000,0.000114
1940,0.000000,0.000111
1941,0.000000,0.000092
1942,0.000000,0.000086
1943,0.000000,0.000084
1944,0.000000,0.000070
1945,0.000000,0.000071
1946,0.000000,0.000065
1947,0.000000,0.000059
1948,0.000000,0.000055
1949,0.000000,0.000044
1950,0.000000,0.000044
1951,0.000000,0.000044
1952,0.000000,0.000041
1953,0.000000,0.000038
1954,0.000000,0.000033
1955,0.000000,0.000032
1956,0.000000,0.000030
1957,0.000000,0.000022
1958,0.000000,0.000024
1959,0.000000,0.000027
1960,0.000000,0.000019
1961,0.000000,0.000020
1962,0.000000,0.000021
1963,0.000000,0.000018
1964,0.000000,0.000018
1965,0.000000,0.000018
1966,0.000000,0.000016
1967,0.000000,0.000015
1968,0.000000,0.000015
1969,0.000000,0.000016
1970,0.000000,0.000013
1971,0.000000,0.000015
1972,0.000000,0.000012
1973,0.000000,0.000016
1974,0.000000,0.000011
1975,0.000000,0.000011
1976,0.000000,0.000013
1977,0.000000,0.000016
1978,0.000000,0.000012
1979,0.000000,0.000010
1980,0.000000,0.000009
1981,0.000000,0.000009
1982,0.000000,0.000008
1983,0.000000,0.000009
1984,0.000000,0.000008
1985,0.000000,0.000006
1986,0.000000,0.000006
1987,0.000000,0.000005
1988,0.000000,0.000008
1989,0.000000,0.000004
1990,0.000000,0.000007
1991,0.000000,0.000004
1992,0.000000,0.000006
1993,0.000000,0.000005
1994,0.000000,0.000005
1995,0.000000,0.000005
1996,0.000000,0.000003
1997,0.000000,0.000007
1998,0.000000,0.000004
1999,0.000000,0.000003
2000,0.000000,0.000003
2001,0.000000,0.000004
2002,0.000000,0.000006
2003,0.000000,0.000006
2004,0.000000,0.000004
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000006
2008,0.000000,0.000005
2009,0.000000,0.000005
2010,0.000000,0.000005
2011,0.000000,0.000004
2012,0.000000,0.000005
2013,0.000000,0.000004
