year,Mandel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,8
1916,11
1917,10
1918,8
1919,8
1920,9
1921,6
1922,6
1923,6
1924,7
1925,5
1926,8
1927,8
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,5
1954,7
1955,5
1956,7
1957,8
1958,17
1959,8
1960,8
1961,11
1962,0
1963,7
1964,7
1965,8
1966,0
1967,10
1968,14
1969,18
1970,17
1971,16
1972,12
1973,23
1974,20
1975,21
1976,18
1977,18
1978,14
1979,12
1980,6
1981,6
1982,5
1983,7
1984,9
1985,5
1986,8
1987,9
1988,10
1989,6
1990,10
1991,5
1992,0
1993,7
1994,10
1995,7
1996,9
1997,6
1998,6
1999,8
2000,0
2001,7
2002,0
2003,0
2004,5
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
