year,Maricruz
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,6
1965,9
1966,12
1967,21
1968,22
1969,21
1970,25
1971,31
1972,38
1973,40
1974,28
1975,30
1976,28
1977,32
1978,22
1979,33
1980,29
1981,30
1982,23
1983,28
1984,14
1985,12
1986,21
1987,18
1988,163
1989,101
1990,169
1991,137
1992,104
1993,124
1994,105
1995,98
1996,90
1997,88
1998,82
1999,91
2000,96
2001,82
2002,95
2003,84
2004,52
2005,62
2006,49
2007,54
2008,44
2009,47
2010,25
2011,27
2012,26
