year,Marcelino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,5
1911,9
1912,17
1913,20
1914,19
1915,27
1916,20
1917,18
1918,34
1919,27
1920,38
1921,37
1922,42
1923,38
1924,43
1925,40
1926,44
1927,48
1928,55
1929,62
1930,59
1931,56
1932,38
1933,47
1934,33
1935,41
1936,34
1937,38
1938,43
1939,42
1940,33
1941,41
1942,30
1943,33
1944,27
1945,30
1946,35
1947,56
1948,51
1949,63
1950,59
1951,48
1952,45
1953,46
1954,36
1955,34
1956,51
1957,49
1958,54
1959,48
1960,76
1961,70
1962,53
1963,64
1964,56
1965,57
1966,47
1967,56
1968,59
1969,52
1970,69
1971,62
1972,61
1973,68
1974,62
1975,75
1976,62
1977,71
1978,72
1979,80
1980,85
1981,91
1982,96
1983,81
1984,60
1985,79
1986,68
1987,74
1988,71
1989,71
1990,88
1991,73
1992,90
1993,80
1994,105
1995,101
1996,115
1997,96
1998,96
1999,110
2000,99
2001,119
2002,86
2003,100
2004,107
2005,104
2006,130
2007,97
2008,96
2009,97
2010,80
2011,77
2012,93
