year,Madie
1880,6
1881,7
1882,11
1883,10
1884,8
1885,10
1886,14
1887,13
1888,25
1889,19
1890,19
1891,15
1892,22
1893,22
1894,17
1895,27
1896,22
1897,26
1898,25
1899,23
1900,38
1901,35
1902,44
1903,37
1904,33
1905,27
1906,44
1907,44
1908,46
1909,51
1910,46
1911,56
1912,54
1913,67
1914,71
1915,103
1916,93
1917,79
1918,87
1919,87
1920,91
1921,91
1922,69
1923,76
1924,80
1925,67
1926,55
1927,67
1928,69
1929,48
1930,52
1931,51
1932,42
1933,46
1934,51
1935,48
1936,39
1937,35
1938,16
1939,27
1940,32
1941,29
1942,25
1943,17
1944,16
1945,21
1946,23
1947,26
1948,26
1949,20
1950,22
1951,20
1952,19
1953,8
1954,13
1955,13
1956,6
1957,9
1958,7
1959,7
1960,13
1961,8
1962,6
1963,12
1964,7
1965,0
1966,6
1967,7
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,6
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,7
1996,0
1997,5
1998,0
1999,0
2000,5
2001,9
2002,6
2003,8
2004,10
2005,18
2006,5
2007,8
2008,7
2009,8
2010,6
2011,5
2012,8
