year,Macario
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,11
1916,8
1917,9
1918,10
1919,12
1920,12
1921,21
1922,7
1923,22
1924,49
1925,35
1926,35
1927,19
1928,29
1929,23
1930,33
1931,19
1932,32
1933,25
1934,29
1935,15
1936,24
1937,19
1938,21
1939,14
1940,15
1941,17
1942,16
1943,14
1944,24
1945,24
1946,24
1947,26
1948,33
1949,17
1950,15
1951,16
1952,18
1953,25
1954,21
1955,17
1956,18
1957,13
1958,24
1959,25
1960,18
1961,18
1962,17
1963,18
1964,19
1965,15
1966,19
1967,18
1968,20
1969,21
1970,27
1971,19
1972,21
1973,20
1974,23
1975,27
1976,22
1977,23
1978,30
1979,28
1980,35
1981,27
1982,23
1983,26
1984,27
1985,22
1986,22
1987,30
1988,31
1989,22
1990,21
1991,34
1992,30
1993,28
1994,19
1995,31
1996,27
1997,28
1998,37
1999,27
2000,19
2001,29
2002,29
2003,31
2004,36
2005,45
2006,50
2007,41
2008,32
2009,33
2010,38
2011,21
2012,37
