year,Marycatherine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,0
1958,5
1959,6
1960,6
1961,5
1962,7
1963,7
1964,17
1965,10
1966,6
1967,9
1968,0
1969,0
1970,7
1971,5
1972,0
1973,5
1974,9
1975,15
1976,13
1977,0
1978,5
1979,16
1980,15
1981,12
1982,10
1983,13
1984,12
1985,16
1986,20
1987,19
1988,19
1989,16
1990,17
1991,26
1992,26
1993,25
1994,22
1995,31
1996,17
1997,32
1998,24
1999,27
2000,18
2001,20
2002,16
2003,28
2004,22
2005,18
2006,22
2007,19
2008,15
2009,12
2010,26
2011,16
2012,12
