year,Marylouise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,8
1908,5
1909,0
1910,6
1911,8
1912,15
1913,15
1914,18
1915,32
1916,19
1917,40
1918,29
1919,37
1920,37
1921,41
1922,58
1923,61
1924,47
1925,30
1926,36
1927,34
1928,26
1929,23
1930,15
1931,15
1932,25
1933,14
1934,19
1935,30
1936,33
1937,23
1938,27
1939,33
1940,32
1941,26
1942,39
1943,56
1944,47
1945,46
1946,46
1947,43
1948,37
1949,31
1950,24
1951,26
1952,29
1953,21
1954,27
1955,23
1956,28
1957,23
1958,25
1959,16
1960,20
1961,28
1962,21
1963,17
1964,29
1965,25
1966,23
1967,9
1968,10
1969,10
1970,12
1971,7
1972,8
1973,5
1974,7
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,7
1983,6
1984,0
1985,6
1986,5
1987,6
1988,5
1989,7
1990,0
1991,10
1992,0
1993,0
1994,5
1995,5
1996,5
1997,6
1998,5
1999,0
2000,6
2001,5
2002,0
2003,0
2004,5
2005,5
2006,5
2007,5
2008,6
2009,5
2010,0
2011,0
2012,5
