year,Marya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,6
1913,0
1914,0
1915,8
1916,9
1917,5
1918,8
1919,8
1920,0
1921,10
1922,0
1923,5
1924,0
1925,0
1926,6
1927,5
1928,0
1929,0
1930,6
1931,0
1932,8
1933,0
1934,6
1935,0
1936,5
1937,8
1938,8
1939,6
1940,6
1941,5
1942,10
1943,10
1944,14
1945,8
1946,10
1947,15
1948,15
1949,15
1950,8
1951,9
1952,17
1953,20
1954,23
1955,25
1956,22
1957,20
1958,13
1959,22
1960,18
1961,20
1962,32
1963,34
1964,37
1965,46
1966,30
1967,40
1968,44
1969,44
1970,30
1971,49
1972,46
1973,40
1974,45
1975,37
1976,30
1977,40
1978,43
1979,28
1980,32
1981,28
1982,26
1983,26
1984,29
1985,29
1986,18
1987,19
1988,21
1989,27
1990,26
1991,29
1992,32
1993,28
1994,20
1995,25
1996,16
1997,30
1998,31
1999,36
2000,30
2001,21
2002,25
2003,14
2004,23
2005,32
2006,32
2007,21
2008,30
2009,31
2010,18
2011,25
2012,22
