year,Marybel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,5
1922,0
1923,0
1924,0
1925,6
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,7
1961,9
1962,14
1963,12
1964,12
1965,8
1966,21
1967,15
1968,8
1969,13
1970,18
1971,24
1972,14
1973,19
1974,15
1975,18
1976,18
1977,18
1978,17
1979,17
1980,18
1981,27
1982,20
1983,17
1984,16
1985,21
1986,18
1987,13
1988,17
1989,19
1990,14
1991,10
1992,9
1993,11
1994,10
1995,11
1996,7
1997,12
1998,14
1999,6
2000,6
2001,6
2002,6
2003,8
2004,7
2005,5
2006,6
2007,10
2008,6
2009,0
2010,0
2011,0
2012,0
