year,Merton
1880,27
1881,17
1882,20
1883,23
1884,16
1885,12
1886,10
1887,15
1888,11
1889,7
1890,8
1891,12
1892,19
1893,14
1894,15
1895,12
1896,17
1897,14
1898,11
1899,6
1900,6
1901,13
1902,17
1903,8
1904,10
1905,16
1906,8
1907,21
1908,26
1909,20
1910,16
1911,33
1912,60
1913,56
1914,77
1915,105
1916,117
1917,116
1918,137
1919,104
1920,150
1921,139
1922,129
1923,141
1924,132
1925,141
1926,115
1927,134
1928,124
1929,106
1930,113
1931,75
1932,90
1933,83
1934,79
1935,79
1936,62
1937,75
1938,61
1939,43
1940,45
1941,61
1942,53
1943,55
1944,41
1945,30
1946,35
1947,44
1948,32
1949,32
1950,31
1951,32
1952,28
1953,22
1954,23
1955,21
1956,26
1957,21
1958,11
1959,24
1960,16
1961,17
1962,12
1963,14
1964,18
1965,9
1966,12
1967,15
1968,14
1969,8
1970,13
1971,9
1972,8
1973,10
1974,11
1975,0
1976,7
1977,10
1978,8
1979,8
1980,9
1981,0
1982,0
1983,5
1984,0
1985,5
1986,0
1987,0
1988,8
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
