year,Marni
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,11
1947,0
1948,6
1949,7
1950,10
1951,6
1952,11
1953,6
1954,14
1955,10
1956,8
1957,8
1958,15
1959,8
1960,8
1961,9
1962,13
1963,27
1964,50
1965,126
1966,122
1967,137
1968,208
1969,253
1970,221
1971,167
1972,161
1973,148
1974,138
1975,125
1976,103
1977,73
1978,92
1979,91
1980,77
1981,58
1982,49
1983,37
1984,39
1985,30
1986,39
1987,21
1988,30
1989,42
1990,27
1991,25
1992,27
1993,25
1994,24
1995,19
1996,20
1997,15
1998,19
1999,19
2000,10
2001,17
2002,17
2003,19
2004,11
2005,11
2006,15
2007,14
2008,6
2009,8
2010,9
2011,11
2012,8
