year,Maebelle
1880,0
1881,0
1882,0
1883,0
1884,8
1885,7
1886,0
1887,6
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,7
1895,9
1896,5
1897,7
1898,0
1899,9
1900,14
1901,8
1902,12
1903,9
1904,10
1905,11
1906,14
1907,16
1908,19
1909,12
1910,21
1911,18
1912,12
1913,22
1914,23
1915,25
1916,32
1917,42
1918,35
1919,30
1920,36
1921,36
1922,36
1923,42
1924,34
1925,32
1926,20
1927,40
1928,18
1929,21
1930,22
1931,18
1932,10
1933,17
1934,23
1935,16
1936,15
1937,20
1938,10
1939,11
1940,8
1941,10
1942,10
1943,15
1944,7
1945,6
1946,9
1947,7
1948,7
1949,7
1950,8
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,8
2010,5
2011,0
2012,5
