year,Marnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,9
1916,0
1917,0
1918,5
1919,5
1920,0
1921,0
1922,0
1923,5
1924,5
1925,6
1926,0
1927,0
1928,0
1929,0
1930,6
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,8
1938,6
1939,5
1940,5
1941,9
1942,8
1943,6
1944,10
1945,10
1946,29
1947,20
1948,11
1949,18
1950,27
1951,26
1952,20
1953,25
1954,24
1955,23
1956,25
1957,23
1958,14
1959,12
1960,16
1961,20
1962,30
1963,38
1964,112
1965,267
1966,245
1967,252
1968,446
1969,510
1970,432
1971,358
1972,308
1973,255
1974,237
1975,186
1976,152
1977,140
1978,119
1979,75
1980,82
1981,64
1982,50
1983,59
1984,41
1985,32
1986,31
1987,36
1988,37
1989,21
1990,32
1991,33
1992,26
1993,31
1994,27
1995,25
1996,25
1997,23
1998,19
1999,26
2000,13
2001,19
2002,18
2003,12
2004,19
2005,20
2006,13
2007,24
2008,12
2009,14
2010,13
2011,16
2012,13
