year,Manual
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,6
1913,9
1914,9
1915,21
1916,15
1917,11
1918,18
1919,19
1920,15
1921,17
1922,15
1923,13
1924,15
1925,22
1926,17
1927,22
1928,23
1929,18
1930,12
1931,10
1932,13
1933,15
1934,13
1935,9
1936,8
1937,9
1938,8
1939,14
1940,11
1941,14
1942,9
1943,10
1944,7
1945,11
1946,10
1947,7
1948,6
1949,12
1950,15
1951,12
1952,11
1953,7
1954,7
1955,15
1956,9
1957,12
1958,10
1959,10
1960,9
1961,15
1962,9
1963,9
1964,12
1965,13
1966,11
1967,17
1968,16
1969,12
1970,11
1971,9
1972,15
1973,13
1974,16
1975,9
1976,11
1977,5
1978,13
1979,9
1980,10
1981,14
1982,7
1983,9
1984,9
1985,7
1986,15
1987,9
1988,7
1989,7
1990,7
1991,11
1992,9
1993,0
1994,0
1995,0
1996,9
1997,7
1998,6
1999,5
2000,5
2001,0
2002,0
2003,7
2004,5
2005,6
2006,0
2007,0
2008,5
2009,0
2010,6
2011,0
2012,0
