year,Melodi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,9
1947,7
1948,5
1949,10
1950,5
1951,9
1952,10
1953,16
1954,22
1955,19
1956,34
1957,24
1958,32
1959,36
1960,34
1961,27
1962,37
1963,26
1964,24
1965,23
1966,34
1967,26
1968,32
1969,29
1970,25
1971,19
1972,24
1973,23
1974,26
1975,20
1976,20
1977,33
1978,34
1979,28
1980,25
1981,21
1982,30
1983,17
1984,26
1985,15
1986,16
1987,14
1988,18
1989,14
1990,21
1991,13
1992,21
1993,16
1994,17
1995,16
1996,15
1997,11
1998,16
1999,13
2000,17
2001,18
2002,10
2003,21
2004,21
2005,13
2006,24
2007,22
2008,19
2009,18
2010,39
2011,31
2012,38
