year,Michaella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,5
1952,0
1953,10
1954,5
1955,6
1956,0
1957,0
1958,0
1959,0
1960,5
1961,0
1962,0
1963,0
1964,7
1965,0
1966,12
1967,6
1968,7
1969,10
1970,0
1971,7
1972,13
1973,11
1974,8
1975,6
1976,6
1977,6
1978,9
1979,13
1980,13
1981,18
1982,15
1983,14
1984,25
1985,21
1986,19
1987,31
1988,17
1989,46
1990,36
1991,42
1992,50
1993,84
1994,123
1995,138
1996,111
1997,141
1998,118
1999,81
2000,89
2001,68
2002,60
2003,58
2004,63
2005,36
2006,36
2007,45
2008,45
2009,30
2010,44
2011,34
2012,31
