year,Monalisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,35
1951,15
1952,7
1953,9
1954,6
1955,9
1956,16
1957,5
1958,12
1959,24
1960,19
1961,24
1962,22
1963,23
1964,23
1965,37
1966,24
1967,26
1968,20
1969,23
1970,20
1971,20
1972,18
1973,23
1974,34
1975,28
1976,19
1977,16
1978,14
1979,23
1980,15
1981,24
1982,15
1983,12
1984,27
1985,17
1986,19
1987,13
1988,16
1989,13
1990,22
1991,11
1992,17
1993,10
1994,9
1995,13
1996,12
1997,13
1998,12
1999,10
2000,14
2001,13
2002,15
2003,7
2004,9
2005,9
2006,8
2007,6
2008,9
2009,16
2010,12
2011,6
2012,6
