year,Macarthur
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,142
1943,60
1944,38
1945,35
1946,25
1947,24
1948,12
1949,16
1950,16
1951,30
1952,16
1953,16
1954,8
1955,10
1956,5
1957,10
1958,8
1959,12
1960,10
1961,12
1962,10
1963,20
1964,13
1965,12
1966,17
1967,22
1968,15
1969,17
1970,15
1971,20
1972,16
1973,12
1974,15
1975,14
1976,15
1977,18
1978,14
1979,12
1980,18
1981,6
1982,13
1983,8
1984,14
1985,6
1986,9
1987,8
1988,14
1989,14
1990,9
1991,15
1992,9
1993,8
1994,10
1995,6
1996,11
1997,18
1998,10
1999,14
2000,9
2001,9
2002,9
2003,10
2004,8
2005,7
2006,12
2007,13
2008,9
2009,12
2010,11
2011,10
2012,18
