year,Moses (F),Moses (M)
1880,0.000000,0.000551
1881,0.000000,0.000483
1882,0.000000,0.000420
1883,0.000000,0.000378
1884,0.000000,0.000316
1885,0.000000,0.000307
1886,0.000000,0.000329
1887,0.000000,0.000352
1888,0.000000,0.000267
1889,0.000000,0.000270
1890,0.000000,0.000212
1891,0.000000,0.000244
1892,0.000000,0.000257
1893,0.000000,0.000249
1894,0.000000,0.000245
1895,0.000000,0.000199
1896,0.000000,0.000227
1897,0.000000,0.000202
1898,0.000000,0.000181
1899,0.000000,0.000227
1900,0.000000,0.000260
1901,0.000000,0.000150
1902,0.000000,0.000189
1903,0.000000,0.000226
1904,0.000000,0.000216
1905,0.000000,0.000184
1906,0.000000,0.000170
1907,0.000000,0.000196
1908,0.000000,0.000168
1909,0.000000,0.000211
1910,0.000000,0.000223
1911,0.000000,0.000199
1912,0.000000,0.000210
1913,0.000000,0.000183
1914,0.000000,0.000182
1915,0.000000,0.000157
1916,0.000000,0.000172
1917,0.000000,0.000169
1918,0.000000,0.000162
1919,0.000000,0.000164
1920,0.000000,0.000169
1921,0.000000,0.000162
1922,0.000000,0.000169
1923,0.000000,0.000165
1924,0.000000,0.000151
1925,0.000004,0.000147
1926,0.000000,0.000148
1927,0.000000,0.000139
1928,0.000000,0.000140
1929,0.000000,0.000144
1930,0.000000,0.000130
1931,0.000000,0.000142
1932,0.000000,0.000135
1933,0.000000,0.000140
1934,0.000000,0.000138
1935,0.000000,0.000123
1936,0.000000,0.000111
1937,0.000000,0.000131
1938,0.000000,0.000119
1939,0.000002,0.000113
1940,0.000000,0.000119
1941,0.000000,0.000113
1942,0.000000,0.000100
1943,0.000000,0.000107
1944,0.000000,0.000100
1945,0.000000,0.000088
1946,0.000002,0.000078
1947,0.000000,0.000078
1948,0.000000,0.000092
1949,0.000000,0.000084
1950,0.000000,0.000084
1951,0.000000,0.000085
1952,0.000000,0.000075
1953,0.000000,0.000070
1954,0.000000,0.000068
1955,0.000000,0.000066
1956,0.000001,0.000060
1957,0.000000,0.000064
1958,0.000000,0.000070
1959,0.000000,0.000066
1960,0.000000,0.000073
1961,0.000000,0.000060
1962,0.000000,0.000059
1963,0.000000,0.000054
1964,0.000000,0.000045
1965,0.000000,0.000064
1966,0.000000,0.000047
1967,0.000000,0.000051
1968,0.000000,0.000050
1969,0.000000,0.000054
1970,0.000000,0.000051
1971,0.000000,0.000058
1972,0.000000,0.000063
1973,0.000000,0.000083
1974,0.000000,0.000097
1975,0.000000,0.000113
1976,0.000000,0.000105
1977,0.000000,0.000099
1978,0.000002,0.000099
1979,0.000003,0.000109
1980,0.000000,0.000102
1981,0.000000,0.000104
1982,0.000000,0.000099
1983,0.000000,0.000096
1984,0.000000,0.000097
1985,0.000000,0.000088
1986,0.000000,0.000082
1987,0.000002,0.000086
1988,0.000000,0.000080
1989,0.000000,0.000087
1990,0.000000,0.000074
1991,0.000000,0.000087
1992,0.000000,0.000084
1993,0.000000,0.000095
1994,0.000000,0.000093
1995,0.000000,0.000082
1996,0.000000,0.000100
1997,0.000000,0.000108
1998,0.000000,0.000115
1999,0.000000,0.000123
2000,0.000000,0.000136
2001,0.000000,0.000143
2002,0.000000,0.000136
2003,0.000000,0.000131
2004,0.000000,0.000128
2005,0.000000,0.000123
2006,0.000000,0.000155
2007,0.000000,0.000151
2008,0.000000,0.000143
2009,0.000000,0.000141
2010,0.000000,0.000139
2011,0.000000,0.000136
2012,0.000000,0.000132
