year,Marijane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,9
1916,11
1917,26
1918,24
1919,22
1920,28
1921,24
1922,17
1923,14
1924,22
1925,25
1926,16
1927,18
1928,12
1929,14
1930,25
1931,24
1932,21
1933,26
1934,26
1935,16
1936,16
1937,24
1938,15
1939,7
1940,15
1941,25
1942,22
1943,29
1944,20
1945,26
1946,37
1947,33
1948,37
1949,35
1950,31
1951,30
1952,31
1953,26
1954,29
1955,29
1956,26
1957,30
1958,24
1959,23
1960,19
1961,24
1962,15
1963,17
1964,15
1965,14
1966,10
1967,15
1968,17
1969,0
1970,9
1971,9
1972,10
1973,9
1974,6
1975,5
1976,6
1977,6
1978,7
1979,7
1980,5
1981,6
1982,0
1983,6
1984,5
1985,7
1986,0
1987,0
1988,6
1989,7
1990,0
1991,0
1992,0
1993,6
1994,7
1995,11
1996,6
1997,9
1998,16
1999,14
2000,17
2001,16
2002,15
2003,24
2004,22
2005,21
2006,26
2007,21
2008,18
2009,11
2010,7
2011,9
2012,10
