year,Molli
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,5
1953,0
1954,0
1955,6
1956,0
1957,0
1958,10
1959,6
1960,5
1961,5
1962,0
1963,6
1964,11
1965,7
1966,6
1967,9
1968,8
1969,11
1970,11
1971,15
1972,16
1973,19
1974,12
1975,12
1976,19
1977,12
1978,21
1979,17
1980,17
1981,20
1982,24
1983,20
1984,20
1985,21
1986,32
1987,33
1988,40
1989,40
1990,50
1991,54
1992,56
1993,52
1994,48
1995,51
1996,48
1997,57
1998,47
1999,48
2000,50
2001,41
2002,48
2003,60
2004,55
2005,47
2006,38
2007,58
2008,54
2009,54
2010,51
2011,51
2012,53
