year,Manly
1880,5
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,8
1914,9
1915,17
1916,9
1917,15
1918,15
1919,14
1920,22
1921,21
1922,24
1923,17
1924,10
1925,17
1926,17
1927,9
1928,7
1929,9
1930,12
1931,10
1932,12
1933,9
1934,8
1935,12
1936,6
1937,12
1938,8
1939,8
1940,17
1941,6
1942,17
1943,13
1944,7
1945,0
1946,0
1947,11
1948,8
1949,10
1950,0
1951,0
1952,8
1953,6
1954,7
1955,0
1956,5
1957,0
1958,6
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,6
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
