year,Mortimer
1880,12
1881,11
1882,15
1883,10
1884,10
1885,11
1886,14
1887,8
1888,8
1889,0
1890,7
1891,13
1892,0
1893,10
1894,14
1895,8
1896,13
1897,7
1898,11
1899,10
1900,6
1901,10
1902,7
1903,5
1904,13
1905,12
1906,9
1907,17
1908,9
1909,9
1910,11
1911,18
1912,55
1913,57
1914,75
1915,76
1916,91
1917,83
1918,88
1919,91
1920,70
1921,83
1922,79
1923,71
1924,62
1925,58
1926,48
1927,43
1928,47
1929,42
1930,36
1931,20
1932,29
1933,16
1934,19
1935,12
1936,15
1937,18
1938,14
1939,8
1940,12
1941,7
1942,9
1943,11
1944,9
1945,5
1946,5
1947,12
1948,5
1949,0
1950,12
1951,6
1952,0
1953,7
1954,8
1955,0
1956,8
1957,7
1958,0
1959,6
1960,0
1961,6
1962,5
1963,8
1964,8
1965,6
1966,6
1967,0
1968,0
1969,0
1970,7
1971,5
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
