year,Margretta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,5
1887,5
1888,9
1889,0
1890,0
1891,0
1892,8
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,10
1907,0
1908,7
1909,6
1910,8
1911,9
1912,0
1913,21
1914,10
1915,10
1916,12
1917,21
1918,17
1919,10
1920,21
1921,22
1922,20
1923,10
1924,18
1925,17
1926,9
1927,13
1928,14
1929,18
1930,8
1931,12
1932,13
1933,13
1934,10
1935,9
1936,9
1937,13
1938,6
1939,6
1940,9
1941,17
1942,13
1943,15
1944,16
1945,17
1946,13
1947,12
1948,13
1949,13
1950,16
1951,18
1952,12
1953,11
1954,14
1955,13
1956,7
1957,11
1958,8
1959,9
1960,17
1961,8
1962,8
1963,7
1964,9
1965,9
1966,13
1967,7
1968,8
1969,5
1970,5
1971,7
1972,6
1973,0
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,5
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
