year,Marquita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,10
1920,5
1921,0
1922,0
1923,0
1924,9
1925,7
1926,15
1927,17
1928,15
1929,12
1930,11
1931,10
1932,17
1933,17
1934,22
1935,23
1936,16
1937,18
1938,21
1939,24
1940,30
1941,23
1942,38
1943,31
1944,23
1945,33
1946,38
1947,48
1948,41
1949,47
1950,49
1951,49
1952,54
1953,39
1954,57
1955,59
1956,58
1957,78
1958,56
1959,76
1960,63
1961,69
1962,73
1963,72
1964,57
1965,73
1966,58
1967,71
1968,60
1969,78
1970,100
1971,114
1972,118
1973,122
1974,153
1975,108
1976,114
1977,119
1978,127
1979,127
1980,121
1981,134
1982,127
1983,2563
1984,1372
1985,536
1986,440
1987,364
1988,315
1989,314
1990,255
1991,245
1992,227
1993,219
1994,138
1995,92
1996,74
1997,71
1998,60
1999,45
2000,40
2001,37
2002,22
2003,28
2004,20
2005,19
2006,12
2007,14
2008,10
2009,10
2010,11
2011,8
2012,9
