year,Missouri
1880,23
1881,17
1882,21
1883,20
1884,23
1885,24
1886,30
1887,29
1888,37
1889,40
1890,26
1891,19
1892,31
1893,28
1894,30
1895,16
1896,25
1897,14
1898,23
1899,18
1900,24
1901,18
1902,33
1903,28
1904,21
1905,24
1906,20
1907,15
1908,28
1909,24
1910,24
1911,16
1912,27
1913,20
1914,24
1915,27
1916,31
1917,38
1918,25
1919,37
1920,30
1921,38
1922,35
1923,21
1924,34
1925,29
1926,24
1927,20
1928,24
1929,23
1930,20
1931,12
1932,14
1933,15
1934,14
1935,9
1936,10
1937,12
1938,6
1939,9
1940,5
1941,11
1942,0
1943,8
1944,10
1945,7
1946,5
1947,0
1948,6
1949,6
1950,7
1951,8
1952,10
1953,0
1954,11
1955,7
1956,0
1957,9
1958,0
1959,0
1960,0
1961,0
1962,0
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,7
2007,5
2008,0
2009,0
2010,5
2011,0
2012,0
