year,Matthias (F),Matthias (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000033
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000014
1911,0.000000,0.000000
1912,0.000000,0.000012
1913,0.000000,0.000008
1914,0.000000,0.000013
1915,0.000000,0.000009
1916,0.000000,0.000009
1917,0.000000,0.000012
1918,0.000000,0.000009
1919,0.000000,0.000007
1920,0.000000,0.000006
1921,0.000000,0.000004
1922,0.000000,0.000007
1923,0.000000,0.000008
1924,0.000000,0.000005
1925,0.000000,0.000003
1926,0.000000,0.000004
1927,0.000000,0.000006
1928,0.000000,0.000003
1929,0.000000,0.000004
1930,0.000000,0.000004
1931,0.000000,0.000003
1932,0.000000,0.000000
1933,0.000000,0.000006
1934,0.000000,0.000002
1935,0.000000,0.000003
1936,0.000000,0.000000
1937,0.000000,0.000005
1938,0.000000,0.000005
1939,0.000000,0.000003
1940,0.000000,0.000003
1941,0.000000,0.000003
1942,0.000000,0.000003
1943,0.000000,0.000003
1944,0.000000,0.000003
1945,0.000000,0.000003
1946,0.000000,0.000002
1947,0.000000,0.000000
1948,0.000000,0.000002
1949,0.000000,0.000002
1950,0.000000,0.000000
1951,0.000000,0.000002
1952,0.000000,0.000001
1953,0.000000,0.000002
1954,0.000000,0.000002
1955,0.000000,0.000002
1956,0.000000,0.000004
1957,0.000000,0.000002
1958,0.000000,0.000002
1959,0.000000,0.000002
1960,0.000000,0.000003
1961,0.000000,0.000006
1962,0.000000,0.000004
1963,0.000000,0.000005
1964,0.000000,0.000005
1965,0.000000,0.000004
1966,0.000000,0.000006
1967,0.000000,0.000006
1968,0.000000,0.000006
1969,0.000000,0.000005
1970,0.000000,0.000004
1971,0.000000,0.000007
1972,0.000000,0.000006
1973,0.000000,0.000007
1974,0.000000,0.000011
1975,0.000000,0.000008
1976,0.000000,0.000010
1977,0.000000,0.000008
1978,0.000000,0.000010
1979,0.000000,0.000010
1980,0.000000,0.000015
1981,0.000000,0.000014
1982,0.000000,0.000012
1983,0.000000,0.000012
1984,0.000000,0.000011
1985,0.000000,0.000013
1986,0.000000,0.000017
1987,0.000000,0.000016
1988,0.000000,0.000017
1989,0.000000,0.000017
1990,0.000000,0.000017
1991,0.000000,0.000018
1992,0.000000,0.000022
1993,0.000000,0.000019
1994,0.000000,0.000021
1995,0.000000,0.000024
1996,0.000000,0.000022
1997,0.000000,0.000023
1998,0.000000,0.000028
1999,0.000000,0.000026
2000,0.000000,0.000029
2001,0.000000,0.000032
2002,0.000000,0.000035
2003,0.000000,0.000042
2004,0.000000,0.000058
2005,0.000000,0.000053
2006,0.000000,0.000064
2007,0.000000,0.000066
2008,0.000000,0.000074
2009,0.000000,0.000078
2010,0.000000,0.000071
2011,0.000000,0.000080
2012,0.000000,0.000095
2013,0.000000,0.000114
