year,Maymie
1880,7
1881,8
1882,7
1883,6
1884,11
1885,14
1886,10
1887,6
1888,14
1889,10
1890,8
1891,12
1892,12
1893,9
1894,20
1895,12
1896,19
1897,12
1898,19
1899,13
1900,18
1901,17
1902,22
1903,21
1904,21
1905,15
1906,19
1907,24
1908,13
1909,19
1910,14
1911,19
1912,16
1913,17
1914,25
1915,37
1916,44
1917,32
1918,34
1919,31
1920,22
1921,41
1922,34
1923,28
1924,27
1925,24
1926,23
1927,15
1928,13
1929,23
1930,15
1931,14
1932,13
1933,8
1934,0
1935,10
1936,8
1937,7
1938,10
1939,10
1940,5
1941,6
1942,0
1943,5
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
