year,Montrel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,7
1972,7
1973,7
1974,5
1975,8
1976,9
1977,7
1978,15
1979,8
1980,17
1981,16
1982,11
1983,0
1984,19
1985,24
1986,22
1987,18
1988,22
1989,37
1990,33
1991,51
1992,52
1993,56
1994,42
1995,43
1996,33
1997,31
1998,22
1999,25
2000,21
2001,26
2002,20
2003,19
2004,16
2005,23
2006,18
2007,19
2008,15
2009,18
2010,13
2011,12
2012,17
