year,Malynda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,6
1955,6
1956,5
1957,6
1958,8
1959,12
1960,10
1961,16
1962,9
1963,20
1964,10
1965,23
1966,18
1967,17
1968,23
1969,25
1970,31
1971,25
1972,28
1973,22
1974,23
1975,30
1976,26
1977,26
1978,28
1979,36
1980,26
1981,20
1982,18
1983,19
1984,17
1985,19
1986,25
1987,19
1988,19
1989,16
1990,15
1991,21
1992,19
1993,10
1994,17
1995,14
1996,13
1997,14
1998,5
1999,10
2000,8
2001,0
2002,8
2003,5
2004,6
2005,6
2006,6
2007,0
2008,9
2009,6
2010,6
2011,0
2012,0
