year,Myles (F),Myles (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000044
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000035
1892,0.000000,0.000000
1893,0.000000,0.000022
1894,0.000000,0.000000
1895,0.000000,0.000023
1896,0.000000,0.000020
1897,0.000000,0.000000
1898,0.000000,0.000037
1899,0.000000,0.000000
1900,0.000000,0.000029
1901,0.000000,0.000023
1902,0.000000,0.000023
1903,0.000000,0.000013
1904,0.000000,0.000017
1905,0.000000,0.000021
1906,0.000000,0.000023
1907,0.000000,0.000011
1908,0.000000,0.000014
1909,0.000000,0.000027
1910,0.000000,0.000034
1911,0.000000,0.000023
1912,0.000000,0.000030
1913,0.000000,0.000027
1914,0.000000,0.000037
1915,0.000000,0.000032
1916,0.000000,0.000027
1917,0.000000,0.000032
1918,0.000000,0.000037
1919,0.000000,0.000028
1920,0.000000,0.000031
1921,0.000000,0.000041
1922,0.000000,0.000035
1923,0.000000,0.000029
1924,0.000000,0.000039
1925,0.000000,0.000034
1926,0.000000,0.000029
1927,0.000000,0.000030
1928,0.000000,0.000036
1929,0.000000,0.000032
1930,0.000000,0.000032
1931,0.000000,0.000033
1932,0.000000,0.000028
1933,0.000000,0.000033
1934,0.000000,0.000032
1935,0.000000,0.000027
1936,0.000000,0.000034
1937,0.000000,0.000035
1938,0.000000,0.000034
1939,0.000000,0.000028
1940,0.000000,0.000029
1941,0.000000,0.000025
1942,0.000000,0.000029
1943,0.000000,0.000028
1944,0.000000,0.000028
1945,0.000000,0.000024
1946,0.000000,0.000025
1947,0.000000,0.000028
1948,0.000000,0.000032
1949,0.000000,0.000032
1950,0.000000,0.000031
1951,0.000000,0.000031
1952,0.000000,0.000033
1953,0.000000,0.000028
1954,0.000000,0.000026
1955,0.000000,0.000032
1956,0.000000,0.000029
1957,0.000000,0.000026
1958,0.000000,0.000024
1959,0.000000,0.000028
1960,0.000000,0.000028
1961,0.000000,0.000028
1962,0.000000,0.000028
1963,0.000000,0.000030
1964,0.000000,0.000029
1965,0.000000,0.000028
1966,0.000000,0.000024
1967,0.000000,0.000026
1968,0.000000,0.000025
1969,0.000000,0.000023
1970,0.000000,0.000024
1971,0.000000,0.000030
1972,0.000000,0.000028
1973,0.000000,0.000030
1974,0.000000,0.000025
1975,0.000000,0.000031
1976,0.000000,0.000031
1977,0.000000,0.000037
1978,0.000000,0.000033
1979,0.000000,0.000034
1980,0.000000,0.000032
1981,0.000000,0.000040
1982,0.000000,0.000044
1983,0.000000,0.000047
1984,0.000000,0.000046
1985,0.000000,0.000060
1986,0.000000,0.000107
1987,0.000000,0.000114
1988,0.000000,0.000104
1989,0.000000,0.000106
1990,0.000000,0.000132
1991,0.000000,0.000136
1992,0.000000,0.000152
1993,0.000002,0.000228
1994,0.000001,0.000192
1995,0.000002,0.000174
1996,0.000000,0.000179
1997,0.000002,0.000208
1998,0.000000,0.000253
1999,0.000000,0.000248
2000,0.000001,0.000276
2001,0.000002,0.000268
2002,0.000000,0.000260
2003,0.000002,0.000297
2004,0.000002,0.000282
2005,0.000002,0.000277
2006,0.000002,0.000266
2007,0.000000,0.000285
2008,0.000001,0.000333
2009,0.000002,0.000341
2010,0.000002,0.000367
2011,0.000002,0.000414
2012,0.000004,0.000443
2013,0.000002,0.000449
