year,Michaelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,6
1940,6
1941,8
1942,5
1943,9
1944,14
1945,10
1946,20
1947,13
1948,19
1949,13
1950,12
1951,11
1952,9
1953,6
1954,6
1955,8
1956,6
1957,7
1958,9
1959,7
1960,6
1961,0
1962,7
1963,7
1964,5
1965,6
1966,8
1967,7
1968,10
1969,10
1970,5
1971,10
1972,11
1973,8
1974,5
1975,5
1976,6
1977,10
1978,9
1979,11
1980,10
1981,19
1982,13
1983,15
1984,11
1985,18
1986,9
1987,9
1988,11
1989,10
1990,9
1991,14
1992,10
1993,13
1994,10
1995,14
1996,9
1997,9
1998,10
1999,12
2000,11
2001,11
2002,7
2003,12
2004,0
2005,11
2006,0
2007,6
2008,9
2009,0
2010,0
2011,7
2012,6
