year,Matt (F),Matt (M)
1880,0.000000,0.000203
1881,0.000000,0.000150
1882,0.000000,0.000117
1883,0.000000,0.000180
1884,0.000000,0.000226
1885,0.000000,0.000170
1886,0.000000,0.000106
1887,0.000000,0.000137
1888,0.000000,0.000144
1889,0.000000,0.000114
1890,0.000000,0.000093
1891,0.000000,0.000094
1892,0.000000,0.000090
1893,0.000000,0.000092
1894,0.000000,0.000068
1895,0.000000,0.000074
1896,0.000000,0.000078
1897,0.000000,0.000058
1898,0.000000,0.000063
1899,0.000000,0.000062
1900,0.000000,0.000069
1901,0.000000,0.000061
1902,0.000000,0.000070
1903,0.000000,0.000071
1904,0.000000,0.000059
1905,0.000000,0.000057
1906,0.000000,0.000058
1907,0.000000,0.000047
1908,0.000000,0.000039
1909,0.000000,0.000063
1910,0.000000,0.000046
1911,0.000000,0.000062
1912,0.000000,0.000055
1913,0.000000,0.000053
1914,0.000000,0.000073
1915,0.000000,0.000058
1916,0.000000,0.000054
1917,0.000000,0.000057
1918,0.000000,0.000059
1919,0.000000,0.000048
1920,0.000000,0.000042
1921,0.000000,0.000045
1922,0.000000,0.000044
1923,0.000000,0.000039
1924,0.000000,0.000039
1925,0.000000,0.000037
1926,0.000000,0.000033
1927,0.000000,0.000031
1928,0.000000,0.000030
1929,0.000000,0.000030
1930,0.000000,0.000032
1931,0.000000,0.000028
1932,0.000000,0.000028
1933,0.000000,0.000027
1934,0.000000,0.000029
1935,0.000000,0.000028
1936,0.000000,0.000032
1937,0.000000,0.000023
1938,0.000000,0.000026
1939,0.000000,0.000024
1940,0.000000,0.000029
1941,0.000000,0.000022
1942,0.000000,0.000027
1943,0.000000,0.000022
1944,0.000000,0.000023
1945,0.000000,0.000023
1946,0.000000,0.000024
1947,0.000000,0.000022
1948,0.000000,0.000025
1949,0.000000,0.000022
1950,0.000000,0.000022
1951,0.000000,0.000025
1952,0.000000,0.000021
1953,0.000000,0.000028
1954,0.000000,0.000035
1955,0.000000,0.000048
1956,0.000000,0.000090
1957,0.000000,0.000136
1958,0.000000,0.000220
1959,0.000000,0.000234
1960,0.000000,0.000211
1961,0.000000,0.000215
1962,0.000000,0.000213
1963,0.000000,0.000229
1964,0.000000,0.000227
1965,0.000000,0.000220
1966,0.000000,0.000209
1967,0.000000,0.000208
1968,0.000000,0.000232
1969,0.000000,0.000231
1970,0.000000,0.000205
1971,0.000000,0.000235
1972,0.000002,0.000186
1973,0.000000,0.000167
1974,0.000000,0.000132
1975,0.000000,0.000136
1976,0.000000,0.000112
1977,0.000000,0.000092
1978,0.000000,0.000074
1979,0.000000,0.000078
1980,0.000000,0.000068
1981,0.000000,0.000057
1982,0.000000,0.000056
1983,0.000000,0.000065
1984,0.000000,0.000051
1985,0.000000,0.000046
1986,0.000000,0.000046
1987,0.000000,0.000037
1988,0.000000,0.000039
1989,0.000000,0.000027
1990,0.000000,0.000023
1991,0.000000,0.000021
1992,0.000000,0.000023
1993,0.000000,0.000016
1994,0.000000,0.000018
1995,0.000000,0.000014
1996,0.000000,0.000014
1997,0.000000,0.000015
1998,0.000000,0.000015
1999,0.000000,0.000019
2000,0.000000,0.000013
2001,0.000000,0.000014
2002,0.000000,0.000016
2003,0.000000,0.000014
2004,0.000000,0.000012
2005,0.000000,0.000010
2006,0.000000,0.000017
2007,0.000000,0.000016
2008,0.000000,0.000017
2009,0.000000,0.000016
2010,0.000000,0.000014
2011,0.000000,0.000012
2012,0.000000,0.000015
