year,Murial
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,5
1915,5
1916,11
1917,5
1918,10
1919,8
1920,12
1921,7
1922,12
1923,6
1924,5
1925,8
1926,7
1927,9
1928,9
1929,6
1930,5
1931,8
1932,0
1933,5
1934,8
1935,0
1936,6
1937,7
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,7
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,7
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
