year,Malcolm (F),Malcolm (M)
1880,0.000000,0.000089
1881,0.000000,0.000088
1882,0.000000,0.000090
1883,0.000000,0.000106
1884,0.000000,0.000074
1885,0.000000,0.000058
1886,0.000000,0.000098
1887,0.000000,0.000085
1888,0.000000,0.000087
1889,0.000000,0.000093
1890,0.000000,0.000090
1891,0.000000,0.000108
1892,0.000000,0.000090
1893,0.000000,0.000083
1894,0.000000,0.000100
1895,0.000000,0.000094
1896,0.000000,0.000134
1897,0.000000,0.000086
1898,0.000000,0.000105
1899,0.000000,0.000103
1900,0.000000,0.000122
1901,0.000000,0.000101
1902,0.000000,0.000134
1903,0.000000,0.000126
1904,0.000000,0.000114
1905,0.000000,0.000153
1906,0.000000,0.000112
1907,0.000000,0.000116
1908,0.000000,0.000160
1909,0.000000,0.000162
1910,0.000000,0.000146
1911,0.000000,0.000217
1912,0.000000,0.000236
1913,0.000004,0.000253
1914,0.000000,0.000224
1915,0.000000,0.000253
1916,0.000000,0.000246
1917,0.000000,0.000271
1918,0.000000,0.000234
1919,0.000002,0.000236
1920,0.000000,0.000246
1921,0.000000,0.000257
1922,0.000000,0.000239
1923,0.000000,0.000271
1924,0.000000,0.000268
1925,0.000004,0.000265
1926,0.000000,0.000274
1927,0.000004,0.000264
1928,0.000000,0.000295
1929,0.000003,0.000273
1930,0.000000,0.000251
1931,0.000002,0.000278
1932,0.000000,0.000271
1933,0.000000,0.000263
1934,0.000000,0.000240
1935,0.000000,0.000261
1936,0.000000,0.000256
1937,0.000000,0.000235
1938,0.000000,0.000245
1939,0.000000,0.000237
1940,0.000000,0.000238
1941,0.000000,0.000204
1942,0.000000,0.000211
1943,0.000002,0.000238
1944,0.000000,0.000204
1945,0.000000,0.000192
1946,0.000000,0.000196
1947,0.000000,0.000175
1948,0.000000,0.000159
1949,0.000000,0.000149
1950,0.000000,0.000154
1951,0.000001,0.000160
1952,0.000000,0.000159
1953,0.000001,0.000142
1954,0.000000,0.000149
1955,0.000000,0.000148
1956,0.000000,0.000138
1957,0.000000,0.000134
1958,0.000000,0.000145
1959,0.000000,0.000120
1960,0.000000,0.000131
1961,0.000000,0.000126
1962,0.000000,0.000129
1963,0.000000,0.000123
1964,0.000000,0.000121
1965,0.000000,0.000169
1966,0.000000,0.000131
1967,0.000000,0.000127
1968,0.000000,0.000125
1969,0.000000,0.000127
1970,0.000001,0.000149
1971,0.000002,0.000151
1972,0.000002,0.000143
1973,0.000002,0.000129
1974,0.000000,0.000111
1975,0.000000,0.000122
1976,0.000000,0.000111
1977,0.000000,0.000103
1978,0.000000,0.000093
1979,0.000002,0.000087
1980,0.000000,0.000075
1981,0.000000,0.000079
1982,0.000000,0.000085
1983,0.000000,0.000064
1984,0.000000,0.000080
1985,0.000000,0.000108
1986,0.000002,0.000149
1987,0.000001,0.000176
1988,0.000003,0.000201
1989,0.000000,0.000235
1990,0.000001,0.000293
1991,0.000002,0.000334
1992,0.000000,0.000389
1993,0.000000,0.000325
1994,0.000000,0.000263
1995,0.000000,0.000243
1996,0.000000,0.000231
1997,0.000000,0.000211
1998,0.000000,0.000191
1999,0.000000,0.000193
2000,0.000000,0.000189
2001,0.000000,0.000164
2002,0.000000,0.000156
2003,0.000000,0.000133
2004,0.000000,0.000116
2005,0.000000,0.000116
2006,0.000000,0.000118
2007,0.000000,0.000114
2008,0.000000,0.000123
2009,0.000000,0.000113
2010,0.000000,0.000134
2011,0.000000,0.000143
2012,0.000000,0.000160
