year,Marye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,9
1896,7
1897,8
1898,8
1899,0
1900,11
1901,0
1902,9
1903,5
1904,6
1905,8
1906,6
1907,8
1908,5
1909,15
1910,10
1911,13
1912,22
1913,24
1914,27
1915,40
1916,29
1917,33
1918,42
1919,38
1920,47
1921,42
1922,41
1923,39
1924,33
1925,39
1926,28
1927,47
1928,26
1929,30
1930,32
1931,19
1932,19
1933,13
1934,23
1935,23
1936,17
1937,14
1938,16
1939,27
1940,22
1941,19
1942,24
1943,22
1944,16
1945,23
1946,25
1947,22
1948,28
1949,33
1950,17
1951,16
1952,25
1953,13
1954,15
1955,19
1956,15
1957,20
1958,14
1959,12
1960,9
1961,9
1962,11
1963,7
1964,9
1965,13
1966,0
1967,8
1968,7
1969,6
1970,7
1971,0
1972,5
1973,7
1974,5
1975,0
1976,0
1977,7
1978,0
1979,0
1980,6
1981,5
1982,0
1983,0
1984,6
1985,6
1986,6
1987,5
1988,0
1989,5
1990,0
1991,10
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,5
1999,5
2000,7
2001,8
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
