year,Marge
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,6
1893,0
1894,10
1895,8
1896,7
1897,11
1898,11
1899,8
1900,12
1901,12
1902,13
1903,10
1904,12
1905,12
1906,22
1907,16
1908,23
1909,20
1910,14
1911,23
1912,38
1913,40
1914,49
1915,73
1916,67
1917,90
1918,93
1919,63
1920,94
1921,83
1922,98
1923,74
1924,102
1925,68
1926,76
1927,73
1928,56
1929,60
1930,72
1931,53
1932,63
1933,52
1934,60
1935,65
1936,59
1937,77
1938,101
1939,99
1940,85
1941,114
1942,80
1943,102
1944,77
1945,91
1946,93
1947,84
1948,48
1949,46
1950,33
1951,33
1952,27
1953,44
1954,30
1955,36
1956,34
1957,50
1958,61
1959,57
1960,59
1961,55
1962,59
1963,31
1964,18
1965,21
1966,6
1967,14
1968,12
1969,8
1970,8
1971,9
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
