year,Magaly
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,7
1952,7
1953,7
1954,8
1955,10
1956,8
1957,24
1958,19
1959,11
1960,13
1961,29
1962,29
1963,49
1964,37
1965,37
1966,27
1967,48
1968,36
1969,36
1970,45
1971,48
1972,44
1973,36
1974,33
1975,37
1976,39
1977,37
1978,33
1979,54
1980,39
1981,55
1982,48
1983,45
1984,50
1985,36
1986,72
1987,81
1988,74
1989,93
1990,89
1991,105
1992,117
1993,142
1994,148
1995,127
1996,128
1997,122
1998,106
1999,116
2000,164
2001,169
2002,129
2003,151
2004,163
2005,138
2006,157
2007,153
2008,115
2009,110
2010,97
2011,131
2012,128
