year,Maryanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,6
1897,0
1898,0
1899,5
1900,9
1901,5
1902,7
1903,6
1904,0
1905,0
1906,0
1907,0
1908,14
1909,6
1910,14
1911,13
1912,10
1913,21
1914,17
1915,30
1916,28
1917,19
1918,29
1919,19
1920,23
1921,37
1922,25
1923,24
1924,24
1925,15
1926,22
1927,22
1928,16
1929,19
1930,25
1931,12
1932,21
1933,14
1934,21
1935,17
1936,25
1937,16
1938,29
1939,24
1940,15
1941,20
1942,22
1943,21
1944,22
1945,17
1946,26
1947,21
1948,24
1949,11
1950,21
1951,21
1952,16
1953,11
1954,17
1955,14
1956,12
1957,19
1958,15
1959,21
1960,18
1961,19
1962,18
1963,13
1964,24
1965,15
1966,13
1967,5
1968,13
1969,10
1970,15
1971,10
1972,8
1973,8
1974,11
1975,14
1976,11
1977,13
1978,12
1979,7
1980,15
1981,14
1982,19
1983,19
1984,13
1985,20
1986,19
1987,25
1988,18
1989,18
1990,20
1991,17
1992,18
1993,20
1994,32
1995,20
1996,36
1997,37
1998,32
1999,38
2000,32
2001,43
2002,41
2003,39
2004,42
2005,53
2006,39
2007,47
2008,45
2009,31
2010,35
2011,37
2012,50
