year,Merwin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,7
1907,0
1908,8
1909,0
1910,5
1911,8
1912,10
1913,26
1914,34
1915,47
1916,51
1917,44
1918,34
1919,49
1920,45
1921,59
1922,53
1923,57
1924,52
1925,50
1926,58
1927,50
1928,69
1929,44
1930,46
1931,50
1932,40
1933,35
1934,34
1935,34
1936,28
1937,27
1938,24
1939,19
1940,20
1941,19
1942,19
1943,26
1944,22
1945,16
1946,16
1947,22
1948,13
1949,14
1950,16
1951,16
1952,9
1953,13
1954,14
1955,10
1956,12
1957,17
1958,6
1959,19
1960,6
1961,5
1962,11
1963,6
1964,8
1965,0
1966,8
1967,10
1968,6
1969,7
1970,5
1971,0
1972,0
1973,0
1974,7
1975,5
1976,0
1977,5
1978,0
1979,0
1980,5
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
