year,Marzella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,6
1895,6
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,8
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,6
1913,5
1914,11
1915,0
1916,8
1917,11
1918,11
1919,10
1920,12
1921,19
1922,12
1923,15
1924,20
1925,8
1926,12
1927,18
1928,14
1929,14
1930,7
1931,8
1932,14
1933,8
1934,5
1935,8
1936,0
1937,11
1938,7
1939,11
1940,12
1941,5
1942,6
1943,7
1944,6
1945,5
1946,7
1947,8
1948,12
1949,9
1950,6
1951,13
1952,10
1953,12
1954,7
1955,10
1956,7
1957,0
1958,5
1959,7
1960,7
1961,7
1962,5
1963,6
1964,6
1965,0
1966,9
1967,0
1968,0
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,8
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
