year,Mozella
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,5
1890,0
1891,0
1892,8
1893,0
1894,0
1895,6
1896,0
1897,10
1898,6
1899,7
1900,13
1901,8
1902,11
1903,7
1904,7
1905,15
1906,13
1907,14
1908,19
1909,13
1910,24
1911,17
1912,18
1913,22
1914,35
1915,33
1916,35
1917,44
1918,41
1919,44
1920,57
1921,43
1922,45
1923,39
1924,46
1925,43
1926,50
1927,44
1928,37
1929,33
1930,26
1931,30
1932,34
1933,30
1934,36
1935,29
1936,29
1937,30
1938,34
1939,19
1940,27
1941,24
1942,32
1943,29
1944,26
1945,26
1946,20
1947,28
1948,34
1949,20
1950,26
1951,22
1952,20
1953,27
1954,21
1955,19
1956,20
1957,15
1958,13
1959,10
1960,13
1961,9
1962,7
1963,7
1964,9
1965,10
1966,9
1967,11
1968,7
1969,5
1970,9
1971,7
1972,5
1973,7
1974,7
1975,5
1976,6
1977,0
1978,5
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
