year,Maralee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,8
1918,22
1919,8
1920,11
1921,10
1922,5
1923,10
1924,6
1925,7
1926,10
1927,8
1928,7
1929,9
1930,10
1931,9
1932,11
1933,10
1934,11
1935,13
1936,11
1937,12
1938,16
1939,9
1940,7
1941,10
1942,22
1943,28
1944,16
1945,13
1946,15
1947,18
1948,16
1949,24
1950,18
1951,15
1952,18
1953,25
1954,27
1955,18
1956,18
1957,27
1958,13
1959,11
1960,15
1961,13
1962,12
1963,18
1964,11
1965,12
1966,12
1967,14
1968,8
1969,12
1970,12
1971,6
1972,9
1973,6
1974,13
1975,8
1976,7
1977,11
1978,6
1979,9
1980,7
1981,5
1982,7
1983,6
1984,0
1985,0
1986,6
1987,0
1988,6
1989,6
1990,10
1991,6
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
