year,Monte (F),Monte (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000020
1891,0.000017,0.000017
1892,0.000021,0.000018
1893,0.000000,0.000018
1894,0.000000,0.000032
1895,0.000000,0.000014
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000031
1901,0.000000,0.000035
1902,0.000000,0.000016
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000012
1906,0.000016,0.000021
1907,0.000011,0.000015
1908,0.000000,0.000014
1909,0.000000,0.000010
1910,0.000000,0.000008
1911,0.000000,0.000022
1912,0.000000,0.000013
1913,0.000005,0.000019
1914,0.000005,0.000013
1915,0.000003,0.000015
1916,0.000003,0.000018
1917,0.000004,0.000018
1918,0.000006,0.000017
1919,0.000003,0.000018
1920,0.000003,0.000017
1921,0.000003,0.000020
1922,0.000000,0.000017
1923,0.000005,0.000019
1924,0.000003,0.000022
1925,0.000003,0.000042
1926,0.000003,0.000034
1927,0.000003,0.000044
1928,0.000002,0.000043
1929,0.000004,0.000046
1930,0.000004,0.000066
1931,0.000010,0.000060
1932,0.000006,0.000066
1933,0.000005,0.000073
1934,0.000005,0.000071
1935,0.000006,0.000078
1936,0.000004,0.000087
1937,0.000006,0.000090
1938,0.000006,0.000119
1939,0.000009,0.000102
1940,0.000004,0.000101
1941,0.000005,0.000085
1942,0.000007,0.000073
1943,0.000005,0.000061
1944,0.000006,0.000058
1945,0.000006,0.000053
1946,0.000004,0.000070
1947,0.000005,0.000087
1948,0.000005,0.000091
1949,0.000007,0.000126
1950,0.000005,0.000151
1951,0.000005,0.000128
1952,0.000003,0.000150
1953,0.000005,0.000139
1954,0.000005,0.000143
1955,0.000007,0.000135
1956,0.000002,0.000151
1957,0.000004,0.000146
1958,0.000002,0.000132
1959,0.000002,0.000114
1960,0.000002,0.000112
1961,0.000004,0.000136
1962,0.000004,0.000144
1963,0.000003,0.000150
1964,0.000003,0.000146
1965,0.000004,0.000131
1966,0.000005,0.000123
1967,0.000002,0.000123
1968,0.000002,0.000133
1969,0.000003,0.000113
1970,0.000005,0.000117
1971,0.000001,0.000128
1972,0.000004,0.000115
1973,0.000005,0.000102
1974,0.000003,0.000086
1975,0.000002,0.000086
1976,0.000003,0.000066
1977,0.000000,0.000065
1978,0.000000,0.000055
1979,0.000002,0.000044
1980,0.000002,0.000045
1981,0.000000,0.000040
1982,0.000002,0.000040
1983,0.000000,0.000037
1984,0.000002,0.000035
1985,0.000002,0.000031
1986,0.000000,0.000034
1987,0.000002,0.000030
1988,0.000000,0.000032
1989,0.000000,0.000026
1990,0.000000,0.000033
1991,0.000000,0.000029
1992,0.000000,0.000028
1993,0.000000,0.000024
1994,0.000001,0.000028
1995,0.000000,0.000025
1996,0.000000,0.000023
1997,0.000000,0.000028
1998,0.000000,0.000026
1999,0.000000,0.000021
2000,0.000000,0.000023
2001,0.000000,0.000018
2002,0.000000,0.000021
2003,0.000000,0.000023
2004,0.000000,0.000023
2005,0.000000,0.000016
2006,0.000000,0.000023
2007,0.000000,0.000021
2008,0.000000,0.000023
2009,0.000000,0.000021
2010,0.000000,0.000025
2011,0.000000,0.000022
2012,0.000000,0.000020
